,contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,expirationDate,dte,CALL,midPrice
0,SPXW231127C01200000,1200.0,3150.6,3354.5,3362.7,1.0,0.0,2023-11-27,0.0,True,3358.6
1,SPXW231127C01400000,1400.0,3161.2,3154.7,3162.8,1.0,9.0,2023-11-27,0.0,True,3158.75
2,SPXW231127C03450000,3450.0,704.99,1104.9,1113.1,,0.0,2023-11-27,0.0,True,1109.0
3,SPXW231127C03700000,3700.0,548.48,855.7,861.7,18.0,10.0,2023-11-27,0.0,True,858.7
4,SPXW231127C03750000,3750.0,511.89,803.0,808.9,,42.0,2023-11-27,0.0,True,805.95
5,SPXW231127C03800000,3800.0,576.68,755.8,763.2,1.0,0.0,2023-11-27,0.0,True,759.5
6,SPXW231127C03850000,3850.0,415.24,703.1,709.0,,1.0,2023-11-27,0.0,True,706.05
7,SPXW231127C03900000,3900.0,487.0,655.0,663.3,1.0,7.0,2023-11-27,0.0,True,659.15
8,SPXW231127C03975000,3975.0,189.67,580.8,588.3,32.0,0.0,2023-11-27,0.0,True,584.55
9,SPXW231127C03980000,3980.0,185.59,575.8,583.3,2.0,0.0,2023-11-27,0.0,True,579.55
10,SPXW231127C03990000,3990.0,224.76,565.8,573.3,50.0,0.0,2023-11-27,0.0,True,569.55
11,SPXW231127C04000000,4000.0,554.49,555.0,563.3,1.0,1101.0,2023-11-27,0.0,True,559.15
12,SPXW231127C04005000,4005.0,321.16,550.0,558.3,,0.0,2023-11-27,0.0,True,554.15
13,SPXW231127C04010000,4010.0,315.04,545.0,553.3,,0.0,2023-11-27,0.0,True,549.15
14,SPXW231127C04020000,4020.0,153.65,535.0,543.2,28.0,0.0,2023-11-27,0.0,True,539.1
15,SPXW231127C04025000,4025.0,150.78,530.0,538.2,2.0,2.0,2023-11-27,0.0,True,534.1
16,SPXW231127C04030000,4030.0,394.2,525.0,533.2,,0.0,2023-11-27,0.0,True,529.1
17,SPXW231127C04040000,4040.0,475.12,515.0,523.3,5.0,0.0,2023-11-27,0.0,True,519.15
18,SPXW231127C04050000,4050.0,507.27,505.0,513.3,13.0,17.0,2023-11-27,0.0,True,509.15
