,contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,expirationDate,dte,CALL,midPrice
0,SPXW231128C01200000,1200.0,3354.1,0.0,0.0,6.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
1,SPXW231128C02200000,2200.0,2335.94,0.0,0.0,,0.0,2023-11-28,-0.0027397260273972603,True,0.0
2,SPXW231128C03000000,3000.0,1384.7,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
3,SPXW231128C03550000,3550.0,697.3,955.1,973.4,1.0,1.0,2023-11-28,-0.0027397260273972603,True,964.25
4,SPXW231128C03600000,3600.0,646.5,905.2,923.5,3.0,3.0,2023-11-28,-0.0027397260273972603,True,914.35
5,SPXW231128C03650000,3650.0,599.7,855.3,873.6,3.0,3.0,2023-11-28,-0.0027397260273972603,True,864.45
6,SPXW231128C03700000,3700.0,523.45,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
7,SPXW231128C03850000,3850.0,341.73,0.0,0.0,10.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
8,SPXW231128C03925000,3925.0,306.45,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
9,SPXW231128C04000000,4000.0,550.72,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
10,SPXW231128C04050000,4050.0,375.09,0.0,0.0,,0.0,2023-11-28,-0.0027397260273972603,True,0.0
11,SPXW231128C04070000,4070.0,487.59,0.0,0.0,3.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
12,SPXW231128C04075000,4075.0,153.02,0.0,0.0,4.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
13,SPXW231128C04080000,4080.0,477.55,0.0,0.0,4.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
14,SPXW231128C04090000,4090.0,164.56,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
15,SPXW231128C04100000,4100.0,314.31,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
16,SPXW231128C04110000,4110.0,144.47,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
17,SPXW231128C04120000,4120.0,397.58,0.0,0.0,3.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
18,SPXW231128C04125000,4125.0,96.9,0.0,0.0,3.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
19,SPXW231128C04130000,4130.0,128.25,0.0,0.0,4.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
20,SPXW231128C04135000,4135.0,135.64,0.0,0.0,,0.0,2023-11-28,-0.0027397260273972603,True,0.0
21,SPXW231128C04140000,4140.0,417.17,0.0,0.0,2.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
22,SPXW231128C04145000,4145.0,279.06,0.0,0.0,,0.0,2023-11-28,-0.0027397260273972603,True,0.0
23,SPXW231128C04150000,4150.0,401.92,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
24,SPXW231128C04155000,4155.0,218.9,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
25,SPXW231128C04160000,4160.0,332.81,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
26,SPXW231128C04170000,4170.0,383.12,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
27,SPXW231128C04175000,4175.0,342.92,0.0,0.0,3.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
28,SPXW231128C04180000,4180.0,331.83,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
29,SPXW231128C04190000,4190.0,368.8,0.0,0.0,4.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
30,SPXW231128C04195000,4195.0,197.0,0.0,0.0,,0.0,2023-11-28,-0.0027397260273972603,True,0.0
31,SPXW231128C04200000,4200.0,358.76,0.0,0.0,7.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
32,SPXW231128C04210000,4210.0,347.15,0.0,0.0,3.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
33,SPXW231128C04215000,4215.0,334.15,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
34,SPXW231128C04220000,4220.0,335.6,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
35,SPXW231128C04225000,4225.0,333.19,0.0,0.0,7.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
36,SPXW231128C04230000,4230.0,324.26,0.0,0.0,1.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
37,SPXW231128C04235000,4235.0,110.0,0.0,0.0,,0.0,2023-11-28,-0.0027397260273972603,True,0.0
38,SPXW231128C04240000,4240.0,310.58,0.0,0.0,18.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
39,SPXW231128C04245000,4245.0,308.94,0.0,0.0,22.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
40,SPXW231128C04250000,4250.0,310.43,0.0,0.0,9.0,0.0,2023-11-28,-0.0027397260273972603,True,0.0
